"RegionName","City","State","Metro","CountyName","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",0.6637,0.7229,0.8246,0.5754,0.8086,0.9013,0.9608,0.9,1.2034,1.6075,1.6223,1.2951,1.1181,1.0149,1.3188,1.0289,0.606,0.3066,0.8032,1.4961,2.0336,1.6488,1.4087,0.8264,0.7981,1.1779,1.232,1.2606,0.8753,0.7534,0.9911,0.711,1.6062,1.6725,1.6883,0.7713,1.7096,1.5912,1.699,1.1999,0.8265,1.0679,1.3316,1.4492,1.7533,1.4325,1.5921,2.2021,1.8114,1.8089,1.8593,1.8987,2.0081,2.4878,2.8414,2.0854,2.4765,2.0563,2.5889,2.4431,1.7172,1.6251,2.2817,2.1437,2.0501,1.8655,1.9832,2.074,3.4013,3.6407,4.1294,3.7105,5.1339,4.8804,4.5471,4.065,4.2032,3.8725,3.7721,3.818,4.4135,3.5084,4.2225,4.537,6.7019,7.7001,6.6675,6.2042,4.9199,4.5146,5.1096,5.0501,4.197,3.7849,4.4855,4.2902,5.606,6.1813,5.054,5.134,5.2594,5.826,5.8344,6.1033,6.044,7.2319,6.9688,8.6032,7.3817,6.6198,6.1799,5.3348,5.1837,5.7218,6.0876,6.0886,7.4503,9.8661,9.0511,8.0186,10.2572,10.2993,9.7252,7.147,6.3746,8.3449,9.3133,9.8351,9.2438,10.0322,12.1378,12.3774,14.8619,13.4923,12.5482,13.2018,12.7691,12.5167,9.1217,7.0904,9.0462,10.2761,11.353,11.9414,13.6429,10.7184,10.9988,12.127,11.9095,9.5378,8.5328,9.6938,12.8397,12.9982,12.6098,12.1688,12.7034,13.1261,11.2317,10.5367,9.1743,9.2625,10.6062,9.8873,10.5282,12.7406,14.0153,15.1008,15.3261,14.4025,14.4728,12.3309,9.7961,9.271,7.8897,7.1805,7.6265,11.2815,10.4771,8.772,11.3612,11.862,10.9299,9.197,6.6092,6.0685,4.9745,5.1176,4.4273,4.4577,4.6006,6.1552,6.7155,6.3068,5.7929,5.1949,5.5347,3.5327,3.3335,4.1965,3.7485,3.7175,3.0247,3.8398
"Paradise","Las Vegas","NV","Las Vegas","Clark",2.4604,2.1376,1.7414,2.1958,2.1157,2.3665,2.1647,2.7329,2.6979,3.8615,3.8789,4.1607,2.9315,2.6936,2.6033,2.714,2.9468,3.0084,3.2246,3.1883,3.9065,5.1729,4.6145,5.8891,4.9911,4.1065,5.0023,5.3699,4.9224,4.5189,6.2996,7.2555,6.4623,6.8184,8.4119,8.1616,5.4623,4.2304,3.4975,4.0186,4.256,4.0789,4.4035,4.389,4.7982,5.3703,5.3732,5.9013,5.1238,5.0934,6.2288,7.098,6.4726,5.4308,4.9564,5.1058,4.8752,5.7077,6.1887,7.034,7.6915,6.31,5.9689,5.5749,5.3117,5.2716,6.2779,5.7454,6.175,6.6838,7.1536,7.3448,5.6274,4.6518,4.3511,3.9184,3.3747,2.8359,2.8399,3.0064,2.8807,2.451,2.5609,2.9788,2.3592,2.4593,1.9668,1.3441,1.5661,1.3908,1.5054,1.3976,1.3195,1.0321,0.8397,0.9318,0.8284,1.0177,1.0969,0.9269,0.6494,0.3939,0.9949,0.7555,1.2655,1.0934,0.821,0.8663,1.2671,1.5225,1.9058,1.9846,2.9416,3.4467,3.2537,3.3211,4.3514,5.6855,7.8659,10.6146,14.4073,18.3893,18.5645,19.2472,24.9198,27.829,32.1336,34.1848,37.8764,42.6763,44.822,46.2838,47.5129,45.8373,46.4431,50.1285,52.5599,51.9371,52.2999,51.7697,51.7085,51.71,49.8721,48.5365,44.5962,41.507,41.9541,38.361,34.648,32.7959,32.3213,34.4676,35.9087,37.515,38.9867,39.9344,38.6216,40.4973,41.0772,42.3209,41.0538,42.6683,45.411,45.1906,42.3962,40.5761,39.407,38.4309,37.1118,36.1128,38.248,37.0923,32.5847,28.0682,23.6189,18.6852,16.0875,13.6211,11.0555,12.6567,11.8257,11.9227,12.9758,12.4282,12.1803,9.9861,9.572,9.907,9.9218,9.8036,9.1383,9.652,10.8625,11.2186,11.7539,15.8451,17.9043,16.1294,14.8191,15.4303,17.1169,18.1535,16.0561,17.1537
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",7.1312,6.7139,5.1777,5.6762,5.6661,4.9015,3.8264,5.5366,7.2819,6.0115,6.0407,6.0387,7.0688,5.951,4.6924,4.8719,4.7216,4.942,4.7724,4.9102,4.4285,4.7328,4.8453,7.0992,8.3569,8.8266,7.5249,8.2159,7.5437,7.1997,5.1785,3.6216,3.609,5.2239,5.038,6.9218,7.0751,8.0687,7.7696,7.0965,5.9923,5.255,5.5198,5.5131,4.565,5.4545,6.9038,6.5175,6.5752,6.8098,7.975,8.879,7.6171,8.4193,9.1847,8.0685,6.7303,6.6769,8.2422,8.2835,8.7443,7.8841,8.5515,7.4214,7.0192,7.8328,9.3439,8.8734,7.3022,7.8735,7.7756,8.8639,10.4079,12.2047,11.3545,9.9114,8.7893,8.5683,9.6627,10.0382,11.3599,9.8623,8.9016,8.3886,8.3972,8.7213,8.3648,7.6789,7.1036,6.4948,6.2996,5.2063,4.1445,4.4349,4.0351,4.6869,4.0225,3.6905,3.7864,4.2116,3.4655,3.2487,3.4581,3.128,2.4963,2.0184,2.4058,1.5728,1.8956,1.8576,2.4145,2.7262,3.1827,3.4552,2.6969,3.705,3.3163,4.0181,7.52,10.5612,16.0585,24.0417,29.999,36.7677,44.1662,49.1117,58.4367,67.3491,72.6687,75.4221,80.1873,82.4635,84.5661,85.5013,87.0803,85.6413,84.6727,81.2815,76.4126,72.0229,67.9619,63.3678,55.4882,56.0348,58.6936,58.0749,58.5865,57.3962,56.5679,55.6111,54.7164,56.1198,59.206,62.141,62.4161,61.9637,61.91,61.5074,59.9094,58.2426,52.8681,51.1308,52.3073,52.3672,47.6774,45.2682,37.1042,33.64,33.4011,36.0451,34.291,34.4172,38.617,32.0605,25.9791,21.1741,21.5202,16.8401,18.7298,23.3054,20.9923,20.9548,20.5334,20.9842,21.632,21.2959,19.1606,19.5054,17.6234,18.3246,17.2576,15.2315,18.1199,20.0178,19.5939,20.5039,16.6467,18.7366,19.225,16.5339,17.0082,17.2094,17.1969,19.1336
"Upper West Side","New York","NY","New York","New York",,,,,,0.4717,1.4171,0.9024,0.8755,,,,0.8929,,1.379,,,,,,1.0204,,1.4425,,,,,,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5625,,,,,,0.3817,0.6027,0.9744,0.5382,,,,,,0.4348,,,,,,,,,0.8065,,0.7825,0.3784,,,0.4099,0.8616,1.2197,0.6585,,,,,,,,,,0.3031,,,,,,,,,,,0.2604,0.5526,0.3374,,0.926,,,,,,,0.8334,,0.8788,,,,0.6897,0.4828,0.8301,,,,,0.7937,,,0.8197,,,0.6579,,,,,0.5882,,,0.6024,2.1761,1.4088,,,1.0416,,,,,,,,,,,,,,,,,,,,0.1953,,0.2129,,0.3108,,,,,,,0.2242,,,
"South Los Angeles","Los Angeles","CA","Los Angeles","Los Angeles",27.2002,30.9993,33.9629,38.3802,36.6304,41.4229,41.3069,35.7865,31.8905,28.2546,29.3251,29.6415,33.9557,37.7925,38.952,37.8526,36.9401,36.4798,40.8529,34.1348,33.7479,34.3764,35.682,33.6557,35.4938,34.0885,33.7011,32.6653,34.8231,35.6196,35.117,28.705,24.7852,27.1006,29.4177,28.1244,27.759,28.2562,29.7012,29.9182,29.2118,26.9064,24.3355,22.6981,21.4901,21.0754,23.7995,24.4411,26.131,21.6469,20.2951,24.4477,23.3288,21.6689,21.6545,20.5855,20.8939,20.8349,21.3234,19.0074,20.8966,22.9591,20.574,15.5671,13.5664,12.9615,13.2668,12.5462,10.7056,9.5699,9.9998,8.6035,8.0666,10.3806,11.1619,8.5483,6.1999,7.1774,5.4625,5.0715,4.6077,6.3483,6.4512,4.0842,3.1841,2.0283,2.5799,1.7838,1.9398,3.1144,2.2744,1.6745,0.6357,1.3834,1.2306,0.976,1.6873,1.6181,1.2069,0.4543,0.5289,0.6745,0.8008,0.4008,1.0148,1.3657,2.914,3.0509,2.144,3.3857,3.4093,2.5005,6.1082,6.3804,6.216,5.5597,7.2216,13.7042,14.9895,13.7681,14.6212,19.8466,29.2184,33.0524,38.7428,39.3659,44.0221,50.2806,52.0941,48.8823,57.9371,64.9466,73.1587,75.6554,72.4529,73.9909,75.612,72.2052,71.8905,69.5644,64.38,59.8228,56.5286,49.055,47.8058,46.1111,48.3303,46.6362,40.4384,38.9663,39.7255,41.6162,44.339,47.0966,48.1907,46.5879,48.5706,48.7665,49.3195,47.1033,49.0624,51.4995,46.959,43.166,39.3219,41.1342,41.285,45.6472,47.5744,50.9129,51.329,52.0965,47.773,40.3756,36.3164,34.3642,32.112,31.5005,27.7484,28.1692,27.1657,29.6359,27.8756,24.7176,24.4996,23.3832,20.117,14.6057,13.2839,15.9389,16.2421,15.7462,17.1581,16.8718,16.2486,14.3041,16.8621,13.2785,11.6685,14.0257,15.0651,11.3098,10.6198,12.1522
"Sherman Oaks","Los Angeles","CA","Los Angeles","Los Angeles",21.2772,25.9336,21.2399,16.9194,16.2268,14.6574,16.1741,15.3066,12.4684,9.7714,9.3352,10.4094,17.7568,17.6057,15.3374,10.8596,8.3657,8.682,7.2699,8.0415,8.7792,10.1501,11.3262,9.7675,10.3401,9.0976,6.6954,5.8415,6.1692,6.5534,5.3548,3.8249,4.4843,6.6272,6.111,5.0737,4.2599,5.4365,5.2111,4.8008,3.6292,3.8522,3.4353,3.061,3.4834,2.9423,3.071,2.9935,2.7558,2.6799,4.3389,3.678,3.7323,3.8108,3.3979,2.9484,2.1182,3.4453,4.6117,4.3971,3.8095,2.8911,2.2162,2.3778,1.4806,1.8831,2.083,2.3172,2.2622,1.9139,1.7257,2.0841,1.4081,1.767,2.2901,2.4147,1.6041,1.2105,0.9546,0.6863,0.2784,0.7263,0.4626,0.7686,0.3992,1.0747,1.186,2.3046,1.7792,1.374,0.5286,1.1593,0.886,1.146,0.5575,0.9185,0.8501,0.4613,0.7952,1.2588,0.7505,0.7332,0.35,0.7056,0.8651,0.9926,1.0526,1.6243,1.6509,1.9594,2.0442,3.1729,2.8741,2.9657,4.1113,4.5945,5.6367,7.9557,8.3618,11.8271,13.2812,18.2199,19.6598,21.785,26.6363,29.5749,28.6647,32.2722,34.1367,34.8197,35.7915,42.7242,43.9609,42.9523,42.1486,40.0091,36.1531,33.9168,35.7387,35.7805,30.2303,22.4979,22.859,26.6495,29.034,28.6967,29.6216,27.4388,21.6523,22.1062,23.801,22.584,23.9294,21.9657,22.8842,22.971,26.66,27.5768,28.8553,28.9194,26.6888,26.6114,29.4678,27.7238,29.8485,28.2055,26.0333,27.8001,28.859,26.4889,27.9959,24.6919,26.8809,25.7618,22.8122,20.1582,17.5903,14.7052,13.9344,16.1905,17.6067,16.4427,13.7167,12.2697,10.5978,8.6725,7.5447,7.325,8.8675,9.2379,7.1322,5.9694,5.0457,4.894,3.8302,4.0303,3.5986,5.8896,5.281,7.4828,7.3406,5.5876,5.4318,4.8757
"Upper East Side","New York","NY","New York","New York",,,,,,0.9901,1.1931,0.647,1.0272,,1.3501,,,1.3158,,,2.2727,1.5909,,,,,0.7576,1.5107,0.9136,,,,,,1.3889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4717,,,,,,,,,,,,,,,,,,,,0.8334,,,,,1.1905,,,,,,,,,,,,0.7043,,,,,,0.7813,,0.9288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.95,1.175,,,,,0.8065,,,,0.3704,,,,,,,,,,,0.2155,,,,,,0.137,,0.4649,0.2966,,,,,,0.1462,,,,,0.2119,,,,,0.1629,,,,
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",2.4424,2.8353,2.7104,3.5608,3.259,2.1392,2.4818,3.7129,6.6329,5.9592,5.3855,6.3601,4.6025,5.5495,4.7763,4.5266,4.0667,3.8682,4.9092,5.7397,9.1097,8.6294,7.4474,10.8018,10.8608,9.5607,10.1314,9.243,7.5782,6.3127,6.1925,7.706,11.5706,12.5242,10.9884,10.8114,10.1125,8.3332,6.6287,6.1964,6.8012,6.8502,7.1328,6.3321,6.2993,7.1269,7.1727,8.3707,9.4939,10.1291,10.4184,9.3738,8.9472,9.0924,8.221,9.1097,10.9553,12.2482,13.3856,13.0508,12.0355,10.9676,11.8623,12.7138,11.5747,10.49,10.5203,12.3442,10.4498,10.8128,11.1872,11.0885,9.3569,10.0678,8.7245,7.4938,6.84,7.2941,6.0186,5.5967,5.1144,4.6166,5.2197,4.8343,3.9719,3.8525,3.5536,3.4754,3.0958,2.9608,2.2878,1.7429,2.0466,2.0097,1.8678,1.7625,2.0118,1.6957,1.2615,1.5474,1.6651,1.8548,1.3403,1.3173,1.6181,2.1966,1.9713,2.0596,1.7757,2.4135,2.5198,2.745,3.2699,3.137,3.6022,4.6487,5.179,5.5457,7.5042,9.7754,13.1969,18.0399,20.7345,23.1209,30.6973,37.8717,47.7098,51.9006,53.906,55.779,61.8763,65.3491,63.8447,65.0147,66.9098,70.0619,72.0442,70.9999,71.0326,69.7278,69.7478,67.7547,62.0312,59.0661,55.6866,46.5688,47.052,46.4168,45.0371,41.2893,37.6923,38.2694,40.004,42.0151,44.2097,49.2346,50.0883,51.0805,49.8233,49.6594,50.1283,48.8305,50.8965,55.3533,55.9623,52.0396,51.8744,52.4545,51.9463,49.3067,44.7353,42.5199,39.8179,35.5889,30.384,21.7933,19.9643,21.6162,18.2527,14.5309,15.089,14.8984,16.076,14.6709,13.693,12.1796,12.5395,11.7514,10.9882,13.0926,14.6621,14.6835,15.8486,15.8697,15.6103,23.2828,19.0312,18.945,19.3011,23.8365,22.4624,22.889,20.8468,20.8835
"East New York","New York","NY","New York","Kings",6.2325,10.609,6.0989,,,5,4.7326,,,,,,,2.9412,,3.8236,5.1838,,,,,,2.9412,,3.2633,,,,,2.8011,6.2121,6.07,,,8.6957,,5.5845,6.2725,6.8617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6439,2.7631,,1.7242,3.2903,4.5397,3.935,5.8298,5.3379,4.444,1.875,,1.8519,3.4702,2.0773,,,2.9412,,,,,,,,,2.1739,,3.5934,,,,,5.2631,3.6842,3.7528,5.3679,3.3445,3.4266,,,3.5715,,,,,,7.1429,,,,,2.6316,,,2.5,,,,3.3333,13.1372,7.5,5,4.7333,7.6952,9.8887,5.5162,,,,,3.9216,,7.25,11.5178,17.9861,12.3016,5,,3.8462,8.0495,6.5278,3.5516,,1.6667,7.049,,,,,4.5249,,,21.4286,8.8235,,,2.9412,2.3804,1.2863,,,,2.6316,,,,,,,,2.1277,,,,,3.3333,2.3333,,,,,,4.0486,7.5148,3.9713,,,,,
"Southeast Los Angeles","Los Angeles","CA","Los Angeles","Los Angeles",29.7911,36.9338,35.9241,28.9146,31.8286,31.7003,30.3067,28.804,31.2244,26.2617,23.6254,27.9347,30.7028,40.514,45.9737,41.8373,34.829,35.4543,35.3369,33.5544,35.6702,38.7346,39.8544,41.1582,36.0018,34.6671,34.5182,37.9845,37.3964,39.5202,39.0946,37.8253,36.6394,37.6262,34.9193,32.7203,30.0944,35.4035,28.8875,27.5803,29.7072,27.6545,23.9058,28.1403,29.0604,26.5043,26.7811,28.2944,33.498,31.0572,34.0914,36.2924,31.7475,28.9965,21.6686,20.2811,22.8596,25.019,24.4911,19.8341,18.0974,19.5051,23.6484,17.6805,14.9043,16.4289,21.5391,22.8512,22.9025,17.1984,14.1575,12.196,13.1808,13.1471,11.3714,10.0498,9.3333,5.8146,6.2879,9.4708,10.6023,5.88,3.5019,2.7617,4.1806,3.712,4.5033,4.3655,3.6723,3.6324,4.368,3.8589,1.7972,1.4356,1.1693,1.672,2.5766,1.5057,1.5866,1.3409,2.6212,2.1551,1.7409,1.8085,0.9921,1.0376,1.7275,2.504,1.3703,,2.1277,2.5763,3.7248,4.6326,3.709,5.6531,5.1787,11.4398,10.1098,14.6578,21.1075,24.7366,26.0834,40.5833,41.6711,49.4056,54.9964,63.2595,63.3514,73.0802,63.1935,65.7981,66.3587,75.295,80.0657,76.779,67.4653,71.0296,73.058,72.1602,71.289,66.0812,59.2974,52.3035,45.509,44.4409,46.5961,49.5751,50.5477,47.6522,47.1914,41.8034,42.9792,41.9274,45.9614,47.7397,43.841,47.7182,47.9726,44.5423,42.8436,42.4486,40.9951,42.1059,42.0476,43.7089,49.9265,50.5426,48.9541,47.9616,40.7344,39.5313,45.2314,42.328,42.6453,36.9625,35.12,31.6553,28.426,27.1672,22.4991,19.2997,17.2649,18.9643,20.4447,18.6051,18.1092,17.9224,20.2976,16.3141,9.7815,13.6015,16.8315,18.0933,17.328,14.2276,11.0503,11.3569,13.0435,13.6111,18.034,15.6905,17.977,19.5835
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",1.5385,1.8167,1.573,1.2404,1.2471,1.9548,2.2147,1.709,1.7569,1.2307,1.574,2.0519,2.3867,2.9449,3.5918,2.9623,2.9987,3.2272,3.4003,3.7672,3.4168,4.8595,6.7556,8.298,6.8364,4.1943,3.2617,3.4338,4.0266,4.54,3.9055,3.4428,3.2126,3.6989,3.6243,4.8399,4.2082,2.9607,2.805,2.7138,2.6578,3.0935,2.9652,3.1497,3.5736,3.2709,2.821,3.6045,3.8735,4.0106,3.8856,3.695,3.3406,4.2044,4.2998,4.3781,4.1131,4.9029,4.865,4.9512,3.6386,2.6735,2.5522,2.7933,2.953,2.7814,3.2761,3.9752,3.757,3.8427,5.3972,4.9267,3.8664,3.0716,3.0217,2.4615,1.833,1.6552,1.2756,1.7438,1.4597,1.3239,0.9621,1.0841,1.1477,0.8361,0.6981,0.7307,0.6411,0.5899,0.7366,0.6108,0.754,0.5801,0.5026,0.3681,0.5233,0.6775,0.7977,0.656,0.648,0.5459,0.7028,0.7176,0.8415,1.1005,1.1001,1.5377,1.8245,2.284,2.3043,2.2452,2.6758,3.3889,4.4096,5.2397,6.0856,7.7007,8.9006,11.7763,19.2548,24.3259,27.3979,29.8126,34.4778,37.5473,39.201,40.1693,41.8877,44.6068,47.1313,47.1212,43.8861,45.9761,50.8602,54.3233,55.9684,54.7054,53.9597,52.3197,53.3691,51.2371,48.7364,46.8703,44.7492,41.793,40.9619,38.0785,36.1211,33.7319,35.7893,38.1857,37.4732,37.2619,39.2073,44.6107,42.1299,40.5836,39.8211,40.6676,41.9792,45.3672,46.1681,46.3437,43.4983,43.3424,41.3976,40.6903,37.2604,36.5761,35.212,35.101,30.7623,24.9629,19.6991,17.8043,16.6149,14.3675,12.7775,12.6003,13.0149,11.5014,11.4631,11.8324,11.2301,10.7484,11.1201,10.7672,8.5466,8.149,8.0716,10.808,11.1562,12.0732,12.9861,10.2975,11.8555,12.8997,15.3887,15.1026,13.1018,9.5173,10.4896,11.9138
"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",1.7655,1.8389,1.9615,1.7166,1.1673,0.9392,1.1779,1.1573,1.3754,2.0174,2.1718,1.9874,2.3525,2.3225,2.082,1.5677,1.996,2.4196,2.3925,2.6954,2.6291,2.0771,2.2443,1.8626,1.988,2.9647,3.6079,3.2367,2.3352,1.825,2.4526,3.1709,2.8302,2.7353,2.6058,2.449,1.9908,2.4068,2.401,2.3687,2.5353,2.4315,3.1186,2.8713,2.7419,2.8039,2.5039,2.3285,3.1267,4.5215,5.1603,4.2333,3.2974,4.0423,3.3652,3.3004,3.4466,2.8679,2.6632,2.6421,3.1985,2.6188,2.1485,2.5794,3.1916,3.1813,2.514,2.7703,3.4289,3.6599,2.9807,4.0425,4.8624,4.9281,5.2316,4.4481,3.7855,3.3789,3.7885,4.3084,4.2914,3.0509,2.7737,3.3894,4.4102,3.282,2.6115,2.7586,2.3002,2.5322,2.0437,1.629,0.9926,1.1806,2.0315,2.1405,2.6285,2.3497,1.9394,1.8672,1.5629,1.5038,1.4745,1.1327,1.0996,1.2191,1.2639,1.2274,0.9995,1.665,1.4356,2.4584,2.2847,2.9956,2.3136,2.4558,3.9425,4.7918,5.7299,7.8815,9.1868,13.8223,17.1929,21.0624,23.2346,25.9456,28.4733,32.3578,34.2152,38.7743,39.3001,44.6764,49.7945,56.3486,58.1077,61.1532,61.229,60.0655,60.0732,59.2991,54.9549,51.3503,47.7438,48.7234,48.899,46.8343,46.2104,49.5925,50.5888,46.2464,47.5519,46.4628,48.3222,52.1613,54.0601,55.9401,57.4279,56.1884,55.958,54.1815,55.0407,52.8264,50.4467,48.3717,48.632,47.7154,46.6755,44.3684,41.3939,36.6122,33.4933,32.9179,28.8773,26.5129,24.0306,20.8836,20.6566,20.4617,17.7117,19.0066,19.7375,19.4346,18.9064,16.6637,15.328,12.9709,12.8134,12.4396,11.6063,11.8651,10.6683,11.5418,14.0241,15.1243,14.7822,13.2992,13.291,14.5158,13.2743,14.096,15.3232,15.4377,15.0821,13.7396
"Astoria","New York","NY","New York","Queens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6667,,,,,,,,,,5.8823,4.1176,,,,,,,,,3.5715,,,,,,,,,,
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",0.9105,0.6875,1.1181,0.9677,0.7722,0.5839,0.7249,1.0486,1.0113,1.161,1.5887,2.1082,1.6895,1.4616,1.3334,1.4893,1.7518,1.1082,1.1361,1.1547,1.2494,1.3562,1.9099,2.6046,2.5786,2.0797,1.4379,1.1188,1.1143,0.7914,1.0293,1.5971,1.753,1.9991,2.9151,3.5875,2.5506,1.8462,2.2626,1.7397,1.7672,1.9654,1.5539,1.8063,1.8247,1.3782,1.7684,2.2625,3.5071,4.915,3.8919,2.7603,2.2678,2.2279,2.2404,2.3945,2.5497,2.4023,3.192,3.934,2.8908,2.5876,2.2173,1.8312,2.233,2.7293,3.3528,3.117,3.0994,3.2522,3.5898,3.0074,2.2813,2.2349,1.5502,1.7935,1.6886,1.9074,1.8857,1.8826,1.8053,2.0125,1.8373,1.3067,1.6711,2.1523,2.4589,1.8137,1.4028,1.329,1.1423,1.699,1.3363,1.111,0.7807,1.2857,0.8944,0.8397,0.6588,0.9487,0.8932,0.6266,0.8442,1.1915,1.3573,1.6649,1.0333,0.9496,0.7564,0.8805,0.8341,1.1044,1.3728,1.7928,2.8056,2.3645,2.5248,2.9453,4.246,6.2162,8.632,11.3506,11.6779,13.5174,15.3976,18.3734,26.1231,29.66,26.0871,28.9503,37.4675,43.2417,47.4446,51.725,53.3716,52.9944,53.7543,53.3821,47.557,42.1,41.4422,41.9082,42.2113,41.0223,40.9478,44.2652,45.8209,44.3705,42.013,39.3202,38.473,41.8173,44.2017,46.1815,47.2087,48.3928,50.091,48.4322,52.8759,51.5195,46.2699,41.141,40.0365,38.1242,38.0272,38.5522,35.65,30.6568,29.6618,31.4387,30.8042,26.7307,23.6424,19.4633,18.1586,16.7454,17.3253,17.087,15.5731,15.5372,15.9191,15.5696,12.9201,12.5597,11.9495,10.7584,8.6024,9.1632,10.5697,10.4883,9.0096,10.2106,10.8204,11.4935,11.4798,10.1863,9.4432,7.3373,6.3395,5.2946,5.9336,5.5246,5.9488,7.8033
"North Mountain","Phoenix","AZ","Phoenix","Maricopa",2.8699,2.4995,1.6868,1.3765,1.0636,1.0913,1.2876,1.3111,1.6957,2.5793,3.2585,2.5679,2.936,2.3483,2.3305,2.7674,2.9502,2.519,1.4258,2.3641,2.5926,3.1691,3.114,3.5827,4.1012,4.0753,3.8583,4.3176,2.863,2.403,2.1661,2.4083,3.6115,3.7687,3.408,3.1328,2.8802,3.6343,3.7288,2.9038,2.8903,2.3004,3.2094,3.1961,3.245,3.2994,2.9214,2.8252,4.7116,5.993,6.854,6.901,6.2927,5.608,4.8072,4.3177,3.6763,3.5554,4.7592,3.7085,5.0217,4.7662,4.5552,3.6962,3.1082,3.4195,4.0704,4.991,4.8247,5.4314,6.3948,5.6229,5.7067,6.4605,7.0179,6.0476,5.1079,4.7999,6.0152,7.2061,6.7865,6.131,6.2754,6.5675,5.3969,4.9775,4.3377,3.4107,3.6233,3.6482,3.1011,3.0442,2.9402,2.8632,2.3803,2.3274,1.9302,1.2226,0.9976,1.1133,1.1283,1.6011,1.377,1.3623,1.3806,1.3985,1.745,2.5784,2.7683,2.3308,2.7702,2.7659,2.9894,2.5459,3.3421,3.981,4.96,7.5302,9.6993,10.7789,13.2958,16.353,21.8683,25.5163,27.7267,30.7475,40.3842,43.9566,45.155,49.2992,55.1853,65.2908,70.4103,74.0233,73.0572,71.1771,73.818,71.9104,70.0455,63.0387,59.7583,53.9988,54.6302,55.9416,54.7116,52.4049,53.0137,52.2437,50.0322,49.4476,50.5476,49.8706,53.3546,53.7928,56.0217,57.495,58.4578,59.6911,60.83,58.415,56.7716,52.527,51.024,50.2579,50.215,48.2773,46.1348,39.0122,36.1782,35.7134,31.8558,31.1101,30.7686,28.781,26.6904,22.6965,20.3898,19.746,21.9175,23.6511,22.9413,21.8338,21.798,19.999,18.4117,17.6487,17.2209,15.0297,15.1263,12.8694,11.3947,12.5621,16.5449,16.7625,15.6475,15.5635,14.9441,13.9926,13.4278,14.9597,15.696,14.555,13.2323,13.603
